clique,elem_max,conteggio,nodi,intrusi,amicizie mancanti,simmetrie mancanti
5946a576f810d56922436261,10,1,10,0,0.0,12
5946a576f810d5692243634a,9,1,9,0,0.0,3
5946a5f2f810d56922449994,9,2,9,0,0.0,9
5946a5f2f810d56922449e2b,8,2,8,0,0.0,2
5946a5f2f810d56922449e31,8,2,8,0,0.0,7
5946a5f2f810d56922449f38,8,2,8,0,0.0,2
5946a5f2f810d5692244a05a,8,2,8,0,0.0,7
5946a5f2f810d5692244a088,8,2,8,0,0.0,2
5946a5f2f810d5692244a08a,8,2,8,0,0.0,1
5946a5f2f810d5692244a0ef,8,2,8,0,0.0,0
5946a5f3f810d5692244a496,9,2,9,0,0.0,1
5946a5f3f810d5692244a4f8,9,2,9,0,0.0,0
5946a5f3f810d5692244a510,10,2,10,0,0.0,0
5946a5f3f810d5692244a529,10,2,10,0,0.0,0
5946a5f3f810d5692244a5b2,9,2,9,0,0.0,0
5946a5f3f810d5692244a5db,9,2,9,0,0.0,1
5946a5f3f810d5692244a639,9,2,9,0,0.0,9
5946a5f3f810d5692244a63d,9,2,9,0,0.0,7
5946a5f3f810d5692244a67f,9,2,9,0,0.0,6
5946a5f3f810d5692244a6be,9,1,9,0,0.0,9
5946a5f3f810d5692244a6d0,10,2,10,0,0.0,0
5946a5f3f810d5692244a754,10,1,10,0,0.0,0
5946a5f3f810d5692244a7e1,10,1,10,0,0.0,9
5946a5f3f810d5692244a8d6,8,2,8,0,0.0,7
5946a5f3f810d5692244a933,8,2,8,0,0.0,6
5946a5f3f810d5692244abcc,9,2,9,0,0.0,1
5946a5f3f810d5692244ad81,10,2,10,0,0.0,0
5946a5f3f810d5692244adbb,8,2,8,0,0.0,7
5946a5f3f810d5692244aebc,10,2,10,0,0.0,9
5946a5f3f810d5692244aed5,10,2,10,0,0.0,0
5946a5f3f810d5692244aee0,10,1,10,0,0.0,1
5946a5f3f810d5692244aef3,10,2,10,0,0.0,9
5946a5f3f810d5692244af4e,10,2,10,0,0.0,0
5946a5f3f810d5692244aff7,10,1,10,0,0.0,1
5946a5f3f810d5692244b006,10,2,10,0,0.0,10
5946a5f3f810d5692244b00c,10,2,10,0,0.0,1
5946a5f3f810d5692244b017,10,2,10,0,0.0,1
5946a5f3f810d5692244b02d,10,2,10,0,0.0,1
5946a5f3f810d5692244b02f,10,2,10,0,0.0,1
5946a5f3f810d5692244b051,10,2,10,0,0.0,9
5946a5f3f810d5692244b058,10,2,10,0,0.0,0
5946a5f4f810d5692244b0f3,10,2,10,0,0.0,0
5946a5f4f810d5692244b105,10,2,10,0,0.0,9
5946a5f4f810d5692244b10a,8,1,8,0,0.0,0
5946a5f4f810d5692244b115,10,2,10,0,0.0,0
5946a5f4f810d5692244b128,10,1,10,0,0.0,0
5946a5f4f810d5692244b152,10,2,10,0,0.0,9
5946a5f4f810d5692244b161,10,2,10,0,0.0,9
5946a5f4f810d5692244b163,10,2,10,0,0.0,1
5946a5f4f810d5692244b165,10,2,10,0,0.0,0
5946a675f810d56922460cd9,9,1,9,0,0.0,3
5946a6a2f810d56922465ccb,9,1,9,0,0.0,22
5946a6d3f810d56922471f58,8,1,8,0,0.0,0
5946a6dbf810d56922473380,10,1,10,0,0.0,0
5946a6dbf810d5692247339a,9,1,9,0,0.0,0
5946a72bf810d5692247dd4c,8,2,8,0,0.0,7
5946a72df810d5692247f290,8,3,8,0,0.0,5
5946a72df810d5692247f346,8,3,8,0,0.0,10
5946a72df810d5692247f428,9,3,9,0,0.0,12
5946a72df810d5692247f42d,9,3,9,0,0.0,4
5946a72df810d5692247f959,9,3,9,0,0.0,4
5946a72df810d5692247f965,9,3,9,0,0.0,4
5946a72df810d5692247f96b,9,3,9,0,0.0,11
5946a72ef810d5692247f9ac,9,3,9,0,0.0,11
5946a72ef810d5692247fb62,8,2,8,0,0.0,17
5946a72ef810d5692247fb7b,10,1,10,0,0.0,30
5946a72ff810d56922480c03,9,1,9,0,0.0,15
5946a72ff810d56922480c0e,9,2,9,0,0.0,19
5946a775f810d5692248dbce,10,1,10,0,0.0,4
5946a775f810d5692248dbd2,10,1,10,0,0.0,4
5946a775f810d5692248dbd6,10,1,10,0,0.0,4
5946a775f810d5692248dbe5,10,1,10,0,0.0,2
5946a790f810d5692248e7be,9,3,9,0,0.0,0
5946a790f810d5692248e7e1,10,1,10,0,0.0,3
5946a790f810d5692248e7e4,10,1,10,0,0.0,6
5946a790f810d5692248e812,8,1,8,0,0.0,3
5946a790f810d5692248e8b8,11,1,11,0,0.0,1
5946a790f810d5692248e901,9,2,9,0,0.0,2
5946a790f810d5692248e972,10,3,10,0,0.0,1
5946a790f810d5692248e985,9,1,9,0,0.0,0
5946a791f810d5692248eb6a,12,1,12,0,0.0,11
5946a791f810d5692248eb7b,11,1,11,0,0.0,13
5946a791f810d5692248ebce,12,1,12,0,0.0,13
5946a791f810d5692248ebe3,11,1,11,0,0.0,12
5946a797f810d5692248eef9,8,1,8,0,0.0,4
5946a797f810d5692248ef1e,11,1,11,0,0.0,1
5946a797f810d5692248ef20,11,1,11,0,0.0,1
5946a797f810d5692248ef2e,11,1,11,0,0.0,0
5946a797f810d5692248ef35,11,1,11,0,0.0,0
5946a797f810d5692248ef9c,8,1,8,0,0.0,1
5946a797f810d5692248ef9e,8,1,8,0,0.0,1
5946a797f810d5692248efbc,8,1,8,0,0.0,2
5946a797f810d5692248efbe,8,1,8,0,0.0,5
5946a84af810d569224a4c6b,11,1,11,0,0.0,2
5946a84af810d569224a4c7f,11,1,11,0,0.0,4
5946a84af810d569224a4c81,11,1,11,0,0.0,4
5946a84af810d569224a4c83,11,1,11,0,0.0,2
5946a84af810d569224a4cb6,10,1,10,0,0.0,1
5946a892f810d569224ab8db,11,1,11,0,0.0,4
5946a892f810d569224ab8ee,13,1,13,0,0.0,4
5946a892f810d569224ab8f2,13,1,13,0,0.0,5
5946a892f810d569224ab905,11,1,11,0,0.0,3
5946a892f810d569224ab907,11,1,11,0,0.0,4
5946a8b6f810d569224b2705,8,1,8,0,0.0,1
5946a8b6f810d569224b2706,8,1,8,0,0.0,3
5946a8b6f810d569224b28e6,8,1,8,0,0.0,1
5946a8b6f810d569224b292b,9,3,9,0,0.0,9
5946a8b6f810d569224b2934,8,1,8,0,0.0,7
5946a8b6f810d569224b2a10,8,1,8,0,0.0,7
5946a8b6f810d569224b2b5d,9,1,9,0,0.0,8
5946a8e4f810d569224b7c9b,9,1,9,0,0.0,4
5946a8e4f810d569224b7ca1,9,1,9,0,0.0,3
5946a8e4f810d569224b7d25,14,1,14,0,0.0,3
5946a8e4f810d569224b7d7f,10,1,10,0,0.0,4
5946a8f0f810d569224b894a,9,1,9,0,0.0,1
5946a8f1f810d569224b9368,10,3,10,0,0.0,20
5946a8f1f810d569224b9832,9,2,9,0,0.0,11
5946a8f1f810d569224b9b55,9,2,9,0,0.0,11
5946a8f2f810d569224ba4b0,8,3,8,0,0.0,2
5946a8f2f810d569224ba4b1,8,1,8,0,0.0,2
5946a8f2f810d569224ba535,12,1,12,0,0.0,15
5946a8f2f810d569224ba54b,10,3,10,0,0.0,18
5946a8f2f810d569224ba597,11,1,11,0,0.0,17
5946a8f2f810d569224ba804,11,1,11,0,0.0,15
5946a8f2f810d569224ba808,11,1,11,0,0.0,19
5946a8f2f810d569224ba869,12,1,12,0,0.0,15
5946a8f2f810d569224ba883,11,1,11,0,0.0,10
5946a8f2f810d569224ba9e9,11,1,11,0,0.0,19
5946a8f2f810d569224baa27,11,1,11,0,0.0,17
5946a8f2f810d569224baa2b,11,1,11,0,0.0,18
5946a8f3f810d569224bb0b0,11,1,11,0,0.0,15
5946a8f3f810d569224bb0b4,10,1,10,0,0.0,10
5946a8f3f810d569224bb26a,11,1,11,0,0.0,17
5946a8f3f810d569224bb26d,11,1,11,0,0.0,18
5946a8f3f810d569224bb489,11,1,11,0,0.0,17
5946a8f3f810d569224bb4d1,11,1,11,0,0.0,17
5946a8f3f810d569224bb518,11,1,11,0,0.0,18
5946a8f3f810d569224bb762,10,3,10,0,0.0,19
5946a8f3f810d569224bb78f,12,1,12,0,0.0,17
5946a8f3f810d569224bb954,12,1,12,0,0.0,2
5946a8f4f810d569224bbc69,11,1,11,0,0.0,10
5946a8f4f810d569224bbead,13,1,13,0,0.0,19
5946a8f4f810d569224bc0f6,11,1,11,0,0.0,17
5946a8f4f810d569224bc176,13,1,13,0,0.0,18
5946a8f4f810d569224bc17e,12,1,12,0,0.0,17
5946a8f4f810d569224bc183,12,1,12,0,0.0,25
5946a8f4f810d569224bc184,12,1,12,0,0.0,21
5946a8f4f810d569224bc420,14,1,14,0,0.0,14
5946a8f4f810d569224bc4fa,13,1,13,0,0.0,20
5946a8f4f810d569224bc506,13,1,13,0,0.0,27
5946a8f4f810d569224bc546,13,1,13,0,0.0,20
5946a8f4f810d569224bc54c,13,1,13,0,0.0,26
5946a8f4f810d569224bc580,13,1,13,0,0.0,20
5946a8f4f810d569224bc5ec,12,1,12,0,0.0,16
5946a8f4f810d569224bc60d,11,1,11,0,0.0,0
5946a8f4f810d569224bc660,13,1,13,0,0.0,0
5946a8f4f810d569224bc762,12,1,12,0,0.0,11
5946a8f4f810d569224bc77e,12,1,12,0,0.0,12
5946a8f4f810d569224bc80d,13,1,13,0,0.0,19
5946a8f4f810d569224bc864,13,1,13,0,0.0,18
5946a8f4f810d569224bc874,13,1,13,0,0.0,18
5946a8f5f810d569224bcc21,13,2,13,0,0.0,23
5946a8f5f810d569224bcc4b,13,3,13,0,0.0,23
5946a8f5f810d569224bcc54,11,3,11,0,0.0,21
5946a8f5f810d569224bcc65,11,1,11,0,0.0,0
5946a8f5f810d569224bcc94,10,1,10,0,0.0,11
5946a8f5f810d569224bccae,11,1,11,0,0.0,2
5946a8f5f810d569224bcfb8,11,1,11,0,0.0,12
5946a8f5f810d569224bcfe1,11,1,11,0,0.0,3
5946a8f5f810d569224bd001,11,1,11,0,0.0,2
5946a8f5f810d569224bd00c,11,1,11,0,0.0,11
5946a8f5f810d569224bd04b,11,1,11,0,0.0,12
5946a8f5f810d569224bd04c,11,1,11,0,0.0,12
5946a8f5f810d569224bd055,11,1,11,0,0.0,12
5946a8f5f810d569224bd0a0,13,1,13,0,0.0,17
5946a8f5f810d569224bd0a2,12,1,12,0,0.0,16
5946a8f5f810d569224bd19e,8,3,8,0,0.0,4
5946a8f5f810d569224bd20b,11,1,11,0,0.0,20
5946a8f5f810d569224bd22c,11,3,11,0,0.0,27
5946a8f5f810d569224bd293,10,2,10,0,0.0,18
5946a8f5f810d569224bd5c8,8,3,8,0,0.0,0
5946a8f5f810d569224bd5ef,10,2,10,0,0.0,9
5946a8f5f810d569224bd681,8,1,8,0,0.0,0
5946a8f5f810d569224bd6bc,8,3,8,0,0.0,0
5946a8f5f810d569224bd71f,10,1,10,0,0.0,2
5946a8f5f810d569224bd724,8,1,8,0,0.0,0
5946a8f5f810d569224bd756,8,1,8,0,0.0,0
5946a8f5f810d569224bd7b3,10,1,10,0,0.0,9
5946a8f5f810d569224bd7d7,10,1,10,0,0.0,1
5946a8f5f810d569224bd7d9,10,1,10,0,0.0,0
5946a8f5f810d569224bd7df,10,1,10,0,0.0,0
5946a8f5f810d569224bd858,11,1,11,0,0.0,3
5946a8f5f810d569224bd8e7,8,1,8,0,0.0,0
5946a8f5f810d569224bd8eb,10,1,10,0,0.0,2
5946a8f5f810d569224bd8f5,8,1,8,0,0.0,0
5946a8f5f810d569224bd924,10,1,10,0,0.0,1
5946a8f5f810d569224bd925,10,1,10,0,0.0,1
5946a8f6f810d569224bd93f,8,1,8,0,0.0,0
5946a8f6f810d569224bd941,8,1,8,0,0.0,0
5946a8f6f810d569224be2e5,11,1,11,0,0.0,8
5946a8f6f810d569224be2e7,11,1,11,0,0.0,8
5946a8f6f810d569224be5fa,11,3,11,0,0.0,26
5946a8f7f810d569224be63b,11,1,11,0,0.0,9
5946a8f7f810d569224be645,11,3,11,0,0.0,28
5946a8f7f810d569224be671,11,1,11,0,0.0,17
5946a8f7f810d569224be67d,10,3,10,0,0.0,20
5946a8f7f810d569224be69b,11,1,11,0,0.0,17
5946a8f7f810d569224be6a5,8,1,8,0,0.0,7
5946a8f7f810d569224be717,8,3,8,0,0.0,8
5946a8f7f810d569224be718,8,3,8,0,0.0,9
5946a8f7f810d569224be98e,9,1,9,0,0.0,13
5946a8f7f810d569224beb97,11,1,11,0,0.0,23
5946a8f7f810d569224bebba,11,3,11,0,0.0,28
5946a8f7f810d569224bebbc,11,1,11,0,0.0,23
5946a8f7f810d569224bebbe,11,3,11,0,0.0,28
5946a8f7f810d569224beca3,8,1,8,0,0.0,11
5946a8f7f810d569224bedb9,9,1,9,0,0.0,13
5946a8f7f810d569224bedbd,10,1,10,0,0.0,18
5946a8f7f810d569224bee56,10,1,10,0,0.0,18
5946a8f7f810d569224bee88,10,1,10,0,0.0,18
5946a8f7f810d569224beeba,9,1,9,0,0.0,11
5946a8f9f810d569224c09f1,11,3,11,0,0.0,26
5946a8f9f810d569224c0f08,13,1,13,0,0.0,2
5946a8f9f810d569224c0f09,13,1,13,0,0.0,0
5946a8faf810d569224c11a5,10,1,10,0,0.0,12
5946a8faf810d569224c11a6,10,1,10,0,0.0,11
5946a8faf810d569224c11d4,11,1,11,0,0.0,5
5946a8faf810d569224c11d5,11,1,11,0,0.0,5
5946a8faf810d569224c11d8,11,1,11,0,0.0,7
5946a8faf810d569224c11d9,11,1,11,0,0.0,6
5946a8fdf810d569224c4a95,10,1,10,0,0.0,10
5946a8fdf810d569224c4b40,11,3,11,0,0.0,26
5946a8fef810d569224c4bae,9,3,9,0,0.0,2
5946a8fef810d569224c5197,9,3,9,0,0.0,3
5946a8fff810d569224c5a76,9,2,9,0,0.0,9
5946a8fff810d569224c5aa2,9,2,9,0,0.0,7
5946a8fff810d569224c5c7d,9,1,9,0,0.0,0
5946a8fff810d569224c5c99,9,2,9,0,0.0,8
5946a8fff810d569224c5c9a,9,1,9,0,0.0,9
5946a8fff810d569224c5c9d,9,3,9,0,0.0,8
5946a8fff810d569224c5ca1,8,3,8,0,0.0,0
5946a8fff810d569224c5caf,9,1,9,0,0.0,0
5946a8fff810d569224c5cc7,9,3,9,0,0.0,7
5946a8fff810d569224c5cc9,9,1,9,0,0.0,0
5946a8fff810d569224c5ccd,9,3,9,0,0.0,0
5946a8fff810d569224c5d2b,8,2,8,0,0.0,8
5946a8fff810d569224c5d2c,8,1,8,0,0.0,8
5946a8fff810d569224c5d58,8,3,8,0,0.0,1
5946a8fff810d569224c5d73,8,3,8,0,0.0,1
5946a8fff810d569224c66d7,9,1,9,0,0.0,0
5946a906f810d569224c75a3,11,1,11,0,0.0,10
5946a906f810d569224c7ab0,8,1,8,0,0.0,17
5946aa1ef810d569224e82f8,9,1,9,0,0.0,1
5946aa20f810d569224e8339,9,3,9,0,0.0,0
5946aa20f810d569224e8343,9,3,9,0,0.0,0
5946aac0f810d569224f6559,10,3,10,0,0.0,10
5946aac0f810d569224f656e,10,1,10,0,0.0,10
5946aac0f810d569224f656f,10,1,10,0,0.0,11
5946aae0f810d569224f858a,9,1,9,0,0.0,0
5946ab06f810d569224fa67d,9,3,9,0,0.0,1
5946ab06f810d569224fa67e,9,3,9,0,0.0,0
5946ab06f810d569224fa71b,10,1,10,0,0.0,1
5946abb6f810d56922503c3a,8,1,8,0,0.0,4
5946abb7f810d56922504f2c,8,3,8,0,0.0,0
5946abb8f810d56922505242,8,3,8,0,0.0,0
5946abb8f810d56922505244,8,1,8,0,0.0,1
5946abb8f810d56922505328,8,2,8,0,0.0,7
5946abb8f810d5692250532a,8,1,8,0,0.0,8
5946abb8f810d56922505610,8,3,8,0,0.0,1
5946abdef810d56922506cd0,9,2,9,0,0.0,1
5946abdef810d56922506cd2,9,2,9,0,0.0,1
5946abdef810d56922506d6a,9,2,9,0,0.0,5
5946abdef810d56922506e55,9,2,9,0,0.0,9
5946abdef810d56922506e69,9,2,9,0,0.0,2
5946abdef810d56922506ea5,9,2,9,0,0.0,3
5946abdef810d56922507101,8,3,8,0,0.0,3
5946abdef810d56922507102,8,1,8,0,0.0,2
5946abdef810d56922507161,9,1,9,0,0.0,9
5946abdef810d56922507174,9,1,9,0,0.0,9
5946abdef810d5692250722c,9,1,9,0,0.0,1
5946abdff810d56922507296,9,1,9,0,0.0,0
5946abdff810d5692250733a,9,3,9,0,0.0,0
5946abdff810d56922507345,9,3,9,0,0.0,0
5946abdff810d5692250737d,9,3,9,0,0.0,7
5946abdff810d5692250738a,8,1,8,0,0.0,0
5946abdff810d5692250738b,8,1,8,0,0.0,0
5946abdff810d5692250738e,8,3,8,0,0.0,0
5946abdff810d56922507394,9,3,9,0,0.0,0
5946abdff810d5692250739e,9,3,9,0,0.0,8
5946abdff810d569225073a2,9,1,9,0,0.0,0
5946abdff810d569225073a9,9,3,9,0,0.0,0
5946abdff810d569225073c7,9,3,9,0,0.0,5
5946abdff810d569225073dc,9,2,9,0,0.0,9
5946abdff810d569225073dd,9,2,9,0,0.0,8
5946abdff810d569225073e4,9,2,9,0,0.0,2
5946abdff810d569225073e5,9,2,9,0,0.0,1
5946abdff810d569225073f0,9,3,9,0,0.0,0
5946abdff810d56922507566,9,1,9,0,0.0,9
5946abdff810d5692250756e,9,1,9,0,0.0,6
5946abdff810d56922507573,9,1,9,0,0.0,9
5946abdff810d56922507672,9,1,9,0,0.0,0
5946abdff810d56922507698,9,1,9,0,0.0,9
5946abdff810d569225076c1,9,1,9,0,0.0,8
5946abdff810d569225076de,9,1,9,0,0.0,0
5946abdff810d56922507780,8,1,8,0,0.0,1
5946abdff810d56922507913,9,1,9,0,0.0,9
5946abf5f810d56922508dab,11,2,11,0,0.0,2
5946abf5f810d56922508db4,10,1,10,0,0.0,0
5946abf5f810d56922508db8,9,3,9,0,0.0,0
5946abf5f810d56922508dc4,11,1,11,0,0.0,1
5946ac2cf810d5692250a451,10,1,10,0,0.0,2
5946ac2cf810d5692250a45e,10,1,10,0,0.0,1
5946ac2cf810d5692250a460,10,1,10,0,0.0,2
5946ac2cf810d5692250a465,11,1,11,0,0.0,1
5946ac2cf810d5692250a467,10,1,10,0,0.0,1
5946ac2cf810d5692250a48f,11,1,11,0,0.0,0
5946ac2cf810d5692250a49c,11,1,11,0,0.0,0
5946ac2cf810d5692250a4a9,10,1,10,0,0.0,0
5946ac2cf810d5692250a4af,10,1,10,0,0.0,4
5946ac2cf810d5692250a4b0,10,1,10,0,0.0,2
5946ac2cf810d5692250a4c4,10,1,10,0,0.0,2
5946ac9af810d5692250ddad,11,1,11,0,0.0,14
5946ac9af810d5692250ddaf,11,1,11,0,0.0,15
5946aca4f810d5692250e4bc,9,2,9,0,0.0,2
5946aca4f810d5692250e4cf,8,1,8,0,0.0,1
5946aca4f810d5692250e4d2,9,1,9,0,0.0,0
5946acc0f810d5692250f51a,9,2,9,0,0.0,1
5946acc1f810d569225109d5,8,3,8,0,0.0,0
5946acc1f810d569225109d9,8,1,8,0,0.0,1
5946acfef810d569225135c3,13,1,13,0,0.0,2
5946acfef810d569225135c7,11,1,11,0,0.0,0
5946acfef810d569225135c8,13,1,13,0,0.0,0
5946acfef810d569225135cd,11,1,11,0,0.0,1
5946acfef810d5692251363a,9,3,9,0,0.0,0
5946acfef810d5692251364b,8,1,8,0,0.0,0
5946acfef810d5692251368f,9,1,9,0,0.0,0
5946acfef810d56922513768,8,1,8,0,0.0,0
5946acfef810d56922513793,9,1,9,0,0.0,0
5946acfef810d569225137a9,9,1,9,0,0.0,0
5946acfef810d569225137b5,9,1,9,0,0.0,0
5946acfef810d569225137bb,9,1,9,0,0.0,1
5946acfef810d569225137c9,8,1,8,0,0.0,0
5946acfef810d569225137ca,8,1,8,0,0.0,0
5946acfef810d569225137fe,8,1,8,0,0.0,6
5946acfef810d5692251382b,8,1,8,0,0.0,0
5946acfef810d56922513837,8,1,8,0,0.0,0
5946acfef810d56922513838,8,1,8,0,0.0,0
5946acfef810d56922513892,8,1,8,0,0.0,1
5946acfef810d56922513893,8,1,8,0,0.0,1
5946acfef810d56922513906,8,1,8,0,0.0,6
5946acfef810d56922513957,9,1,9,0,0.0,0
5946acfef810d5692251395b,9,1,9,0,0.0,1
5946acfef810d5692251395c,8,1,8,0,0.0,7
5946acfef810d56922513962,9,1,9,0,0.0,8
5946acfef810d5692251396a,9,1,9,0,0.0,8
5946acfef810d5692251396b,9,1,9,0,0.0,8
5946acfef810d56922513978,8,1,8,0,0.0,0
5946acfef810d56922513983,9,1,9,0,0.0,1
5946acfef810d5692251398f,9,1,9,0,0.0,1
5946acfef810d56922513991,9,1,9,0,0.0,8
5946acfef810d56922513998,9,1,9,0,0.0,7
5946acfef810d5692251399a,9,1,9,0,0.0,0
5946acfef810d5692251399c,9,1,9,0,0.0,0
5946acfef810d569225139a0,9,1,9,0,0.0,8
5946acfef810d569225139a4,9,1,9,0,0.0,0
5946acfef810d569225139a5,9,1,9,0,0.0,0
5946acfef810d569225139b2,8,1,8,0,0.0,0
5946acfef810d569225139ba,9,1,9,0,0.0,8
5946acfef810d569225139bc,8,1,8,0,0.0,0
5946acfef810d569225139be,8,1,8,0,0.0,7
5946acfef810d569225139c5,9,1,9,0,0.0,0
5946acfef810d569225139c6,9,1,9,0,0.0,0
5946acfef810d569225139c8,9,1,9,0,0.0,8
5946acfef810d569225139c9,9,1,9,0,0.0,8
5946acfef810d569225139d0,9,1,9,0,0.0,0
5946acfff810d56922513c89,12,1,12,0,0.0,3
5946acfff810d56922513c8c,12,1,12,0,0.0,0
5946ad00f810d56922515548,11,1,11,0,0.0,0
5946ad00f810d56922515575,12,1,12,0,0.0,1
5946ad00f810d56922515588,11,1,11,0,0.0,1
5946ad00f810d569225155b0,10,1,10,0,0.0,0
5946ad00f810d569225155be,10,3,10,0,0.0,1
